age,education_num,occupation,sex,hours_per_week,income,marital_status_Married,marital_status_Never-married,marital_status_Separated,relationship_Husband,relationship_Not-in-family,relationship_Other-relative,relationship_Own-child,relationship_Unmarried,relationship_Wife,workclass_Government,workclass_Not-working,workclass_Private,workclass_Self-employed,workclass_Unknown,capital_net_log
51,7,0.061481481481481484,1,40,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
21,9,0.12461851475076297,1,32,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0.0
41,13,0.27064732142857145,1,45,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,8.94754601503218
34,10,0.4852204408817635,1,30,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0.0
51,9,0.22531017369727047,1,50,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,8.895492631451633
35,9,0.12461851475076297,1,40,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0.0
43,14,0.0410958904109589,0,40,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0.0
53,14,0.44848935116394256,1,40,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,8.04044688130311
46,9,0.13383499059392637,1,40,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0
39,9,0.4852204408817635,1,40,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0.0
65,9,0.13383499059392637,1,20,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
33,9,0.22531017369727047,0,42,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0.0
39,9,0.13383499059392637,0,40,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0
38,11,0.13383499059392637,0,40,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0.0
70,13,0.061481481481481484,1,40,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,8.767017621311778
20,7,0.22531017369727047,1,20,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0.0
47,9,0.0410958904109589,0,30,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0
51,9,0.22531017369727047,1,40,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
24,4,0.27064732142857145,1,40,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0.0
52,14,0.44848935116394256,1,40,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0
33,13,0.44848935116394256,1,43,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,8.04044688130311
36,5,0.10297356828193832,0,40,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.0
25,9,0.2029262086513995,1,44,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
59,13,0.27064732142857145,1,40,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,9.617470759403409
18,9,0.061481481481481484,0,15,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,-7.450079569807499
35,10,0.13383499059392637,0,20,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,8.94754601503218
54,14,0.13383499059392637,1,40,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,8.895492631451633
63,6,0.4852204408817635,1,40,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
45,9,0.27064732142857145,0,55,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.0
29,14,0.44848935116394256,1,40,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
48,9,0.3048245614035088,0,33,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0.0
35,9,0.2029262086513995,1,40,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
50,9,0.22531017369727047,1,50,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
51,15,0.44848935116394256,1,80,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0.0
38,14,0.13383499059392637,0,40,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0.0
41,13,0.4852204408817635,1,60,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
47,13,0.4852204408817635,1,70,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0.0
20,10,0.10297356828193832,0,35,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.0
36,13,0.27064732142857145,1,45,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,-7.551186867296149
53,14,0.44848935116394256,1,40,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
51,12,0.27064732142857145,1,45,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,8.552367266423891
